Provincia,Partido,Localidad,Link Indec,0-10 Mbps,+10-25 Mbps,+25-50 Mbps,+50-100 Mbps,+100-250 Mbps,+250-500 Mbps,+500-1024 Mbps,4000 Mbps,10000 Mbps,Otras_Velocidades,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,SATELITAL,WIMAX,WIRELESS,Otras_Tecnologias,Totales_Tecnologias
CATAMARCA,Andalgalá,Aconquija,10021010,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1
CATAMARCA,Andalgalá,Andalgalá,10021020,561.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,633,0,0,144,2,0,203,1,983
CATAMARCA,Andalgalá,Chaquiago,10021030,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,9,1,0,14,0,24
CATAMARCA,Andalgalá,El Alamito,10021050,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,20,0,20
CATAMARCA,Andalgalá,El Potrero,10021070,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,13,0,0,0,0,13
CATAMARCA,Andalgalá,La Aguada,10021080,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,11,0,0,5,0,16
CATAMARCA,Andalgalá,La Mesada,10021010,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1
CATAMARCA,Antofagasta de la Sierra,Antofagasta de la Sierra,10028010,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,4,0,0,0,4
CATAMARCA,Belén,Belén,10035020,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,5,0,30,0,35
CATAMARCA,Belén,El Durazno,10035050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,1
CATAMARCA,Belén,Hualfín,10035070,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1
CATAMARCA,Belén,Las Juntas,10035100,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,5
CATAMARCA,Belén,Londres,10035110,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,20,0,21
CATAMARCA,Capayán,Capayán,10042030,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1
CATAMARCA,Capayán,Chumbicha,10042040,378.0,146.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,0,0,5,1,0,474,0,572
CATAMARCA,Capayán,Colonia del Valle,10042050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1
CATAMARCA,Capayán,Colonia Nueva Coneta,10042060,10.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,10,1,0,9,0,20
CATAMARCA,Capayán,Coneta,10042080,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,10,1,0,0,0,11
CATAMARCA,Capayán,Huillapima,10042100,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5,1,0,9,0,15
CATAMARCA,Capayán,Los Angeles,10042110,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,5
CATAMARCA,Capayán,Miraflores,10042120,9.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,7,2,0,10,0,19
CATAMARCA,Capayán,San Martín,10042130,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,7,0,0,0,7
CATAMARCA,Capital,El Pantanillo,10049020,5.0,1.0,0.0,2.0,0.0,33.0,0.0,0.0,0.0,0.0,4,0,0,35,2,0,0,0,41
CATAMARCA,Capital,San Fernando del Valle de Catamarca,10049030,2147.0,2088.0,33425.0,16008.0,0.0,7200.0,841.0,0.0,0.0,15.0,3265,10986,1,47463,1,0,14,0,61730
CATAMARCA,El Alto,El Alto,10056010,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,28,0,29
CATAMARCA,El Alto,Tapso,10056050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1
CATAMARCA,Fray Mamerto Esquiú,El Hueco,10063050,0.0,0.0,19.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,26,0,0,0,0,26
CATAMARCA,Fray Mamerto Esquiú,La Carrera,10063050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1
CATAMARCA,Fray Mamerto Esquiú,La Falda De San Antonio,10063050,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,5
CATAMARCA,Fray Mamerto Esquiú,La Tercena,10063050,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,5
CATAMARCA,Fray Mamerto Esquiú,San Antonio,10063050,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,0,0,0,0,4
CATAMARCA,Fray Mamerto Esquiú,Villa Las Pirquitas,10063050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1
CATAMARCA,La Paz,Icaño,10070070,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1
CATAMARCA,La Paz,Quirós,10070120,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,27,0,27
CATAMARCA,La Paz,Recreo,10070140,55.0,3.0,91.0,736.0,0.0,1088.0,3.0,0.0,0.0,0.0,52,39,0,1879,1,0,5,0,1976
CATAMARCA,La Paz,San Antonio,10070150,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,26,0,26
CATAMARCA,Paclín,La Merced,10077050,59.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,0,0,0,4,0,5,0,71
CATAMARCA,Paclín,La Viña,10077060,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10,0,10
CATAMARCA,Paclín,Las Lajas,10077070,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1
CATAMARCA,Paclín,San Antonio,10077100,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,7,0,8
CATAMARCA,Pomán,Colpes,10084030,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,16,0,16
CATAMARCA,Pomán,Mutquin,10084060,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1
CATAMARCA,Pomán,Pomán,10084070,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,2
CATAMARCA,Pomán,San Miguel,10084090,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,7
CATAMARCA,Pomán,Saujil,10084100,1.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,169,0,170
