Año,Trimestre,Provincia,0-10 Mbps,+10-25 Mbps,+25-50 Mbps,+50-100 Mbps,+100-250 Mbps,+250-500 Mbps,+500-1000 Mbps,+1000-5000 Mbps,+5000 Mbps,Otras_Velocidades,Mbps (Media de bajada),Accesos por cada 100 hab,Accesos por cada 100 hogares,ADSL,Cablemodem,Fibra óptica,Wireless,Otras_Tecnologias,Total_Tecnologias
2023,2,Córdoba,206324.0,70115.0,250987.0,302237.0,12439.0,217107.0,8260.0,0.0,1.0,14710.0,111.82,27.59,90.13,129303.0,453924.0,411703.0,62391.0,10430.0,1067751.0
2023,2,Corrientes,37924.0,9101.0,35132.0,37081.0,4507.0,27640.0,267.0,0.0,0.0,6242.0,97.21,13.79,52.37,26821.0,82977.0,32834.0,10407.0,5255.0,158294.0
2023,2,Entre Ríos,90418.0,16985.0,46588.0,69813.0,2978.0,55087.0,708.0,0.0,0.0,13975.0,89.37,19.26,64.43,46503.0,142562.0,49251.0,24461.0,11170.0,273947.0
2023,2,Formosa,33300.0,4185.0,1645.0,11492.0,0.0,11685.0,109.0,0.0,0.0,302.0,77.32,9.75,38.32,11934.0,17678.0,13698.0,16813.0,227.0,60350.0
2023,2,Jujuy,27573.0,28556.0,45375.0,9396.0,3.0,4662.0,518.0,0.0,0.0,1970.0,43.56,14.78,57.78,13749.0,51082.0,47289.0,4067.0,1255.0,117442.0
2023,2,La Pampa,63852.0,16764.0,30171.0,7900.0,1298.0,603.0,8.0,0.0,0.0,1599.0,22.78,32.4,98.35,7254.0,59101.0,31449.0,19993.0,1113.0,118910.0
2023,2,La Rioja,3327.0,24979.0,41437.0,11474.0,137.0,6405.0,23.0,0.0,0.0,0.0,63.55,21.3,80.01,4152.0,55148.0,21245.0,6395.0,32.0,86972.0
2023,2,Mendoza,59842.0,30830.0,164518.0,28347.0,448.0,11626.0,1420.0,0.0,0.0,5566.0,42.69,14.54,52.09,25299.0,71931.0,171857.0,27609.0,980.0,297676.0
2023,2,Misiones,56475.0,9820.0,41281.0,51214.0,6727.0,26532.0,1981.0,0.0,0.0,8526.0,90.55,15.03,55.18,28897.0,82058.0,64406.0,12927.0,7183.0,195471.0
2023,2,Neuquén,49997.0,10750.0,22966.0,30688.0,5.0,29203.0,469.0,0.0,0.0,20168.0,93.97,23.5,78.97,26379.0,73040.0,35171.0,24046.0,3110.0,161746.0
2023,2,Río Negro,44288.0,24809.0,33100.0,32969.0,1095.0,18715.0,467.0,0.0,0.0,15576.0,70.76,21.09,68.56,26390.0,49684.0,53325.0,16864.0,17116.0,163379.0
2023,2,Salta,92922.0,3193.0,29347.0,38917.0,557.0,29997.0,1281.0,0.0,0.0,6646.0,79.1,13.92,57.48,30666.0,97501.0,58275.0,12337.0,6549.0,205328.0
2023,2,San Juan,37120.0,12563.0,29086.0,3255.0,0.0,1796.0,91.0,0.0,0.0,22755.0,20.39,12.1,47.52,21483.0,20200.0,25217.0,23545.0,7004.0,97449.0
2023,2,San Luis,35760.0,79674.0,7794.0,1983.0,0.0,769.0,24140.0,0.0,0.0,5968.0,103.84,26.73,93.41,4937.0,41949.0,15595.0,77960.0,307.0,140748.0
2023,2,Santa Cruz,17818.0,8667.0,14444.0,4503.0,689.0,284.0,0.0,0.0,0.0,33803.0,15.48,12.39,41.66,9019.0,23896.0,11269.0,3660.0,758.0,48602.0
2023,2,Santa Fe,236209.0,71117.0,201734.0,216238.0,13551.0,157632.0,5927.0,2.0,9.0,16168.0,94.87,24.79,78.83,126344.0,399669.0,311166.0,44134.0,14501.0,895814.0
2023,2,Santiago Del Estero,66953.0,24299.0,12520.0,10230.0,0.0,9206.0,237.0,0.0,0.0,917.0,37.62,11.7,47.14,10629.0,80086.0,17244.0,6916.0,2934.0,117809.0
